,Códigos dos Municípios
0,2600054
1,2600104
2,2600203
3,2600302
4,2600401
5,2600500
6,2600609
7,2600708
8,2600807
9,2600906
10,2601003
11,2601052
12,2601300
13,2601409
14,2601508
15,2601607
16,2601706
17,2601805
18,2601904
19,2602100
20,2602209
21,2602308
22,2602407
23,2602506
24,2602605
25,2602704
26,2602902
27,2603009
28,2603108
29,2603207
30,2603306
31,2603405
32,2603454
33,2603504
34,2603603
35,2603702
36,2603801
37,2603900
38,2603926
39,2604007
40,2604106
41,2604155
42,2604205
43,2604304
44,2604403
45,2604502
46,2604601
47,2604700
48,2604809
49,2604908
50,2605004
51,2605152
52,2605202
53,2605400
54,2605459
55,2605509
56,2605608
57,2605707
58,2605806
59,2605905
60,2606002
61,2606101
62,2606200
63,2606408
64,2606507
65,2606705
66,2606804
67,2606903
68,2607604
69,2607109
70,2607208
71,2607406
72,2607505
73,2607653
74,2607703
75,2607752
76,2607802
77,2607901
78,2607950
79,2608008
80,2608107
81,2608206
82,2608255
83,2608305
84,2608404
85,2608453
86,2608503
87,2608602
88,2608701
89,2608750
90,2608800
91,2608909
92,2609006
93,2609105
94,2609204
95,2609303
96,2609402
97,2609501
98,2609600
99,2609709
100,2609808
101,2610004
102,2610103
103,2610202
104,2610301
105,2610509
106,2610608
107,2610707
108,2610905
109,2611101
110,2611200
111,2611309
112,2611408
113,2611507
114,2611533
115,2611606
116,2611705
117,2611804
118,2611903
119,2612000
120,2612109
121,2612208
122,2612307
123,2612406
124,2612471
125,2612505
126,2612604
127,2612703
128,2612802
129,2612901
130,2613008
131,2613107
132,2613206
133,2613305
134,2613404
135,2613503
136,2613602
137,2613701
138,2613800
139,2613909
140,2614006
141,2614204
142,2614402
143,2614501
144,2614600
145,2614709
146,2614857
147,2615003
148,2615102
149,2615201
150,2615300
151,2615409
152,2615508
153,2615706
154,2615904
155,2616100
156,2616183
157,2616209
158,2616308
159,2616407
160,2616506
